"block_id","k","N","prev","q","seed"
2306,6,100,0.95,0.99,20302306
2307,6,150,0.05,0.99,20302307
2308,6,150,0.2,0.99,20302308
2309,6,150,0.5,0.99,20302309
2310,6,150,0.8,0.99,20302310
2311,6,150,0.95,0.99,20302311
2312,6,200,0.05,0.99,20302312
2313,6,200,0.2,0.99,20302313
2314,6,200,0.5,0.99,20302314
2315,6,200,0.8,0.99,20302315
2316,6,200,0.95,0.99,20302316
2317,6,300,0.05,0.99,20302317
2318,6,300,0.2,0.99,20302318
2319,6,300,0.5,0.99,20302319
2320,6,300,0.8,0.99,20302320
2321,6,300,0.95,0.99,20302321
2322,6,500,0.05,0.99,20302322
2323,6,500,0.2,0.99,20302323
2324,6,500,0.5,0.99,20302324
2325,6,500,0.8,0.99,20302325
2326,6,500,0.95,0.99,20302326
2327,6,1000,0.05,0.99,20302327
2328,6,1000,0.2,0.99,20302328
2329,6,1000,0.5,0.99,20302329
2330,6,1000,0.8,0.99,20302330
2331,6,1000,0.95,0.99,20302331
2332,8,15,0.05,0.99,20302332
2333,8,15,0.2,0.99,20302333
2334,8,15,0.5,0.99,20302334
2335,8,15,0.8,0.99,20302335
2336,8,15,0.95,0.99,20302336
2337,8,20,0.05,0.99,20302337
2338,8,20,0.2,0.99,20302338
2339,8,20,0.5,0.99,20302339
2340,8,20,0.8,0.99,20302340
2341,8,20,0.95,0.99,20302341
2342,8,30,0.05,0.99,20302342
2343,8,30,0.2,0.99,20302343
2344,8,30,0.5,0.99,20302344
2345,8,30,0.8,0.99,20302345
2346,8,30,0.95,0.99,20302346
2347,8,50,0.05,0.99,20302347
2348,8,50,0.2,0.99,20302348
2349,8,50,0.5,0.99,20302349
2350,8,50,0.8,0.99,20302350
2351,8,50,0.95,0.99,20302351
2352,8,75,0.05,0.99,20302352
2353,8,75,0.2,0.99,20302353
2354,8,75,0.5,0.99,20302354
2355,8,75,0.8,0.99,20302355
2356,8,75,0.95,0.99,20302356
2357,8,100,0.05,0.99,20302357
2358,8,100,0.2,0.99,20302358
2359,8,100,0.5,0.99,20302359
2360,8,100,0.8,0.99,20302360
2361,8,100,0.95,0.99,20302361
2362,8,150,0.05,0.99,20302362
2363,8,150,0.2,0.99,20302363
2364,8,150,0.5,0.99,20302364
2365,8,150,0.8,0.99,20302365
2366,8,150,0.95,0.99,20302366
2367,8,200,0.05,0.99,20302367
2368,8,200,0.2,0.99,20302368
2369,8,200,0.5,0.99,20302369
2370,8,200,0.8,0.99,20302370
2371,8,200,0.95,0.99,20302371
2372,8,300,0.05,0.99,20302372
2373,8,300,0.2,0.99,20302373
2374,8,300,0.5,0.99,20302374
2375,8,300,0.8,0.99,20302375
2376,8,300,0.95,0.99,20302376
2377,8,500,0.05,0.99,20302377
2378,8,500,0.2,0.99,20302378
2379,8,500,0.5,0.99,20302379
2380,8,500,0.8,0.99,20302380
2381,8,500,0.95,0.99,20302381
2382,8,1000,0.05,0.99,20302382
2383,8,1000,0.2,0.99,20302383
2384,8,1000,0.5,0.99,20302384
2385,8,1000,0.8,0.99,20302385
2386,8,1000,0.95,0.99,20302386
2387,10,15,0.05,0.99,20302387
2388,10,15,0.2,0.99,20302388
2389,10,15,0.5,0.99,20302389
2390,10,15,0.8,0.99,20302390
2391,10,15,0.95,0.99,20302391
2392,10,20,0.05,0.99,20302392
2393,10,20,0.2,0.99,20302393
2394,10,20,0.5,0.99,20302394
2395,10,20,0.8,0.99,20302395
2396,10,20,0.95,0.99,20302396
2397,10,30,0.05,0.99,20302397
2398,10,30,0.2,0.99,20302398
2399,10,30,0.5,0.99,20302399
2400,10,30,0.8,0.99,20302400
2401,10,30,0.95,0.99,20302401
2402,10,50,0.05,0.99,20302402
2403,10,50,0.2,0.99,20302403
2404,10,50,0.5,0.99,20302404
2405,10,50,0.8,0.99,20302405
2406,10,50,0.95,0.99,20302406
2407,10,75,0.05,0.99,20302407
2408,10,75,0.2,0.99,20302408
2409,10,75,0.5,0.99,20302409
2410,10,75,0.8,0.99,20302410
2411,10,75,0.95,0.99,20302411
2412,10,100,0.05,0.99,20302412
